kmax,Bits/Símbolo,Taxa (%),Tempo Comp (s),Tempo Decomp (s),Tempo Total (s),Tamanho Comprimido (bytes),Obs
0,8.005663,100.07,252.91,N/A,252.91,10199661,Descompressão por kmax omitida para otimizar tempo
1,3.505352,43.82,89.37,N/A,89.37,4466014,Descompressão por kmax omitida para otimizar tempo
2,2.809201,35.12,72.37,N/A,72.37,3579079,Descompressão por kmax omitida para otimizar tempo
3,2.266940,28.34,61.45,N/A,61.45,2888208,Descompressão por kmax omitida para otimizar tempo
4,1.999701,25.00,57.57,N/A,57.57,2547730,Descompressão por kmax omitida para otimizar tempo
5,1.916220,23.95,60.35,N/A,60.35,2441371,Descompressão por kmax omitida para otimizar tempo
6,1.919367,23.99,66.76,N/A,66.76,2445380,Descompressão por kmax omitida para otimizar tempo
7,1.963553,24.54,76.22,N/A,76.22,2501676,Descompressão por kmax omitida para otimizar tempo
8,2.022127,25.28,87.18,N/A,87.18,2576303,Descompressão por kmax omitida para otimizar tempo
9,2.080128,26.00,101.81,N/A,101.81,2650199,Descompressão por kmax omitida para otimizar tempo
10,2.130984,26.64,117.23,N/A,117.23,2714993,Descompressão por kmax omitida para otimizar tempo
